[2026-04-05T19:04:31Z] PreCompact | PreCompact phase=0 — context compaction triggered
[2026-04-05T19:10:03Z] PreCompact | PreCompact phase=0 — context compaction triggered
[2026-04-05T19:11:24Z] PreCompact | PreCompact phase=0 — context compaction triggered
[2026-04-05T23:50:37Z] SessionStart | SessionStart trigger=compact
[2026-04-05T23:50:37Z] SessionStart | SessionStart compact — pipeline-state.yaml not found, nothing to re-inject
[2026-04-05T23:51:34Z] SubagentStart | SubagentStart phase=1 agent=UNKNOWN_CHECK_PROBE
[2026-04-05T23:59:40Z] SubagentStop | SubagentStop phase=2 agent=UNKNOWN_CHECK_PROBE exit_code=UNKNOWN_CHECK_PROBE
[2026-04-05T23:59:58Z] SubagentStart | SubagentStart phase=2 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:13:28Z] SubagentStart | SubagentStart phase=3 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:20:23Z] SubagentStart | SubagentStart phase=3 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:21:14Z] PreCompact | PreCompact phase=3 — context compaction triggered
[2026-04-06T00:28:53Z] SubagentStop | SubagentStop phase=3 agent=UNKNOWN_CHECK_PROBE exit_code=UNKNOWN_CHECK_PROBE
[2026-04-06T00:29:40Z] SubagentStart | SubagentStart phase=4 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:34:46Z] SubagentStop | SubagentStop phase=5 agent=UNKNOWN_CHECK_PROBE exit_code=UNKNOWN_CHECK_PROBE
[2026-04-06T00:35:10Z] SubagentStart | SubagentStart phase=5 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:38:05Z] SubagentStop | SubagentStop phase=6 agent=UNKNOWN_CHECK_PROBE exit_code=UNKNOWN_CHECK_PROBE
[2026-04-06T00:38:23Z] SubagentStart | SubagentStart phase=6 agent=UNKNOWN_CHECK_PROBE
[2026-04-06T00:43:02Z] SubagentStop | SubagentStop phase=7 agent=UNKNOWN_CHECK_PROBE exit_code=UNKNOWN_CHECK_PROBE
